id,body,sentiment,created_at
e36259c6-59c6-4680-a3cd-29636b36d8b1,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",0,2020-11-06
47da3d07-dc63-44a1-ba26-64ed979d767b,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",1,2020-11-06
b5d9a589-4562-422e-b9f2-07047293b1dd,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",1,2020-11-06
daa4667e-7766-4352-960c-ededccab26fa,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,1,2020-11-06
c68aea4b-ef5a-488b-ae5d-416001ab4eb3,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",1,2020-11-06
9af85867-fe3c-4b10-94ff-fa443cf82be2,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",1,2020-11-06
49bec97b-1a39-4782-82af-f9e9bc221cc0,"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",1,2020-11-06
f9d8c1d1-a20b-47bf-9b92-07247cf7c68b,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",1,2020-11-06
49f5491e-b452-45fb-b482-c5ab097df48c,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",1,2020-11-06
e4d4d372-ef14-4cd3-a2e0-5d21e293d8f6,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",1,2020-11-06
9dc07e52-2169-40b9-8466-018be013589d,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",1,2020-11-06
3578e56f-a1e8-4e41-8b2f-7e337bd42520,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",1,2020-11-06
79d716f2-7717-4fce-98d0-0ad6e8a4446a,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",1,2020-11-06
1535a267-c806-4520-beee-47e167a4c63e,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),1,2020-11-06
4897c4a1-98a8-4186-a5b8-ce662542e619,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",1,2020-11-06
de31b121-a3fe-4eaf-b2ce-2bfa326ece0b,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,1,2020-11-06
838d62a1-8d24-4410-8888-08870dd3e7c5,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",1,2020-11-06
a1b5bceb-1c9f-4e6d-8e99-fe3b01d3294b,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",1,2020-11-06
9f6ee77d-f083-45f2-958b-ffca273a7740,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",1,2020-11-06
f11ab31b-fe6b-4eb4-bf7c-e728df61702d,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",1,2020-11-06
b0651f87-cfd5-4146-9eff-c7bb729b1d07,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",1,2020-11-06
aef88441-b7ad-4332-b3bd-bccf8d24fd80,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",1,2020-11-06
e8f2718f-6339-4628-a41f-f6973678a0f7,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,1,2020-11-06
2a327f9e-c34a-4b0d-a6ce-5b96c0b53f32,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",1,2020-11-06
3968f4e8-42a8-4497-b0a4-671e0bee145c,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",1,2020-11-06
94cf73a7-92d7-4d6e-a083-350b30f0fa68,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",1,2020-11-06
8a1c95a9-4d64-4eda-abbf-dbe3a342bc57,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",1,2020-11-06
f6ac7cef-4c05-4dec-9009-207430194802,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",1,2020-11-06
4bb4c07a-c820-462b-bb6f-3e7f72149af1,Sales have risen in other export markets .,1,2020-11-06
4e4021f2-a10b-4e30-9eb4-526bbbceccf9,Sales increased due to growing market rates and increased operations .,1,2020-11-06
fd737521-c012-43fa-a877-1a33f21be526,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,1,2020-11-06
99d54c73-2af9-48bd-b8f3-a59d452d3610,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",1,2020-11-06
8fde9cc2-0770-4a78-96aa-636369c2ab82,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",1,2020-11-06
94ed59d9-97c4-443d-b479-80a756bb9690,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",1,2020-11-06
d9c1b7b3-0c6b-4624-9a5d-ed9d55189c24,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",1,2020-11-06
c55ed027-1d89-47a5-8407-012354db4d5f,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,1,2020-11-06
372c4f14-adb0-40f5-9a03-0c9e7f794ef1,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",1,2020-11-06
d0c691f7-e13d-446a-ba08-2f61363a2f0f,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",0,2020-11-06
d815d804-57a0-4384-b95a-86e79eeabe24,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,0,2020-11-06
a255064e-b693-432d-a27e-51aa257e3d6e,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",0,2020-11-06
6ce7c1e8-0ea2-4b4d-beeb-1ddd5d912d8f,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,0,2020-11-06
6a2f9b37-f785-4496-ad16-5fa97a3e829f,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,1,2020-11-06
30401b3c-0819-4652-9367-7050d35fa431,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",1,2020-11-06
e18a0a5c-bf1a-4a65-a9bd-d709217cb95f,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",1,2020-11-06
2a4b6a0d-f7d4-41a8-8e98-010bca809ac1,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",1,2020-11-06
ee3d6ede-4c4f-4adf-9464-63c99e8db777,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,1,2020-11-06
008395fb-b3dd-46a7-95f1-da6e6e03cef6,Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,1,2020-11-06
0a4d8237-57c1-4c07-9f6b-cd78b5cb4936,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",1,2020-11-06
