id,body,created_at,sentiment,symbols
7d43a914-2132-4037-9214-f82acf309c4a,royal mail chairman donald brydon set to step down,2020-11-06,-1,['Royal Mail']
aa70070a-cdbc-47c3-a10f-9d756f358171,stakes high for astrazeneca heart drug facing tough competition,2020-11-06,-1,['AstraZeneca']
a8dff259-9d04-4c04-95ea-53b1363b8054,update 1-dairy crest loses a third of morrisons milk contract,2020-11-06,-1,['Morrisons']
1ae01a90-06b4-49c2-a5ea-d42684402f32,insight hires aviva's david hillier for multi-asset team,2020-11-06,1,['Insight']
fbeb773a-3023-4477-8b3d-f51e3cba7fd4,primark racks up a happy christmas after strong sales,2020-11-06,1,['Primark']
01d27ae9-3f9d-41e1-84cc-e35dfe758ca2,update 1-pearson expects to grow this year after solid end to 2014,2020-11-06,1,['Pearson']
8e4c8aac-7914-407d-8e02-354137c849f7,tesco sells blinkbox and broadband service to talktalk,2020-11-06,1,"['TalkTalk', 'Tesco']"
692907bf-182e-49ea-8bc2-7ae3f9f3b972,unilever profit rises despite sales slump in china,2020-11-06,1,['Unilever']
f61a1978-08c5-411f-92d7-51ca04c7cda2,tesco leads leap in ftse 100; marks & spencer drops,2020-11-06,1,['Tesco']
303a23b0-15e3-406f-9f15-83bace99b4a9,royal dutch shell profit rises; dividend up 4%,2020-11-06,1,['Royal Dutch Shell']
6b41b596-d9c6-4b03-ab00-649b56e81158,morning agenda: shire's deal for nps,2020-11-06,1,['Shire']
bfeb6f85-f581-4aef-af72-417ba405cc61,carnival corporation and china merchants group sign memo of understanding ...,2020-11-06,1,['China Merchants Group']
4fb18ced-4acd-459a-a83e-9ac7d4ec69b1,teva: fda approves generic version of astrazeneca heartburn drug,2020-11-06,1,"['AstraZeneca', 'Teva']"
41a0989a-f237-4ef4-ab71-db0b03981875,passengers rise at easyjet and aer lingus,2020-11-06,1,['EasyJet']
e7c69463-98a3-4e09-8d07-aaa965a4dcaf,tesco abandons video-streaming ambitions in blinkbox sale,2020-11-06,-1,"['Blinkbox', 'Tesco']"
99905ab8-8b83-4414-a376-1b5917bf76dc,"fda approves nps drug, in move validating shire takeover deal",2020-11-06,1,['Shire']
996b98f3-8764-416c-bfbd-78a7cea43252,ocwen reaches settlement with california regulator,2020-11-06,1,['Ocwen']
594a210a-3a31-47c3-8513-e367d07388fb,morrisons faces festive sales test,2020-11-06,-1,['Morrisons']
8416759c-f7ff-4b87-b79a-23b60f582684,tesco share price dips as blinkbox books closes ending supermarket's digital ...,2020-11-06,-1,"['Blinkbox', 'Tesco']"
32dc0e75-09c7-44a1-add6-14cffe7591ae,shire to buy nps for $5.2 billion to boost rare disease drugs,2020-11-06,1,['Shire']
e7273967-6cc6-4266-8f9a-01d8d0d854ae,astrazeneca's medimmune inks licensing deal with omnis pharmaceuticals,2020-11-06,1,['Omnis Pharmaceuticals']
1ae0ed6a-6845-4f72-b4a0-0332199a3e92,fda approves shire's vyvanse for binge-eating disorder,2020-11-06,1,['Shire']
4451aa85-ea5b-4f32-85f0-458df51b9947,companies thetrainline.com announces arrival of london ipo,2020-11-06,1,['Thetrainline.com']
0d5387e5-5b39-4f2e-a650-b2d84449c053,breakingviews: iag can pay more for aer lingus,2020-11-06,1,['IAG']
ba51bb48-c0bd-455b-81fe-b96a2f931fdf,tesco share price jumps as q3 sales top estimates,2020-11-06,1,['Tesco']
b78e9628-7c87-4d18-bc14-532f443869f2,crh's concrete bid for holcim lafarge assets,2020-11-06,1,['Holcim Lafarge']
892b407c-3bf6-43b8-aa3c-debdd15ee3ea,persimmon share price climbs on 23% rise in full-year revenue,2020-11-06,1,['Persimmon']
8abae48f-28a8-4760-aafb-d032e8559ee5,ruling sets lower limit on potential fine for bp,2020-11-06,-1,['BP']
4a254857-08d7-449c-8827-2ac52a1bc189,reed elsevier share price slides on underwhelming full-year results,2020-11-06,-1,['Reed Elsevier']
c49391ea-19c8-4ce5-b2ce-d49e60444056,update 1-meggitt reiterates annual outlook after tough 2014,2020-11-06,0,['Meggitt']
b92c5189-7fd0-4624-9c23-fa2d01cea0bd,slump in weir leads ftse down from record high,2020-11-06,-1,['Weir']
e12bcf1b-1a2d-4668-b0a8-594a6c14bee3,bunzl lifts dividend again as acquisitions continue to boost profits,2020-11-06,1,['Bunzl']
4b908fcf-e2ce-4c9e-94d6-df496c53adbe,refile-update 4-britain's lloyds to pay first dividend since rescue,2020-11-06,1,['Lloyds']
e86fd61e-f076-4e5e-a181-c81d01d0cfab,glaxosmithkline set to complete $20 billion novartis asset swap next week,2020-11-06,1,['Novartis']
615b8c8a-8df1-4eb5-91f7-3b25938248ab,meggitt share price tumbles as profit falls in 'challenging year',2020-11-06,-1,['Meggitt']
3fa3a0df-716c-47a1-b176-8d3183d5b3e3,analyst views: astrazeneca shares have seen recent volatility; what will 2015 ...,2020-11-06,-1,['Astrazeneca']
529f0753-2441-4f6d-8a7b-161ac302a578,arm royalties accelerate as smartphone market regains strength,2020-11-06,1,['ARM']
b70609fc-919f-49b8-af0f-bd3df6f803b6,conagra names former hillshire farms ceo connolly to top post,2020-11-06,0,['ConAgra']
8b1e0dd3-84f7-49da-abf0-919da3ff5295,bg group appoints new ceo one month early,2020-11-06,0,['BG Group']
d67ab1d1-133a-4e7b-984d-ac4a211fc2e4,"glencore cuts 2015 budget, plans to divest from lonmin",2020-11-06,-1,['Lonmin']
659c3319-2275-4601-9f00-79d4c2abf306,u.s. debt lures schroders as ecb depresses rates,2020-11-06,0,['Schroders']
97ee6d47-cf0b-4d90-8cbc-e0a2ede511b2,tullow oil suspends dividend amid oil price fall,2020-11-06,-1,['Tullow Oil']
8aede8e7-383b-4969-9904-1c6608725f41,"oil majors like royal dutch shell, chevron, bp fail to find reserves to counter ...",2020-11-06,-1,['Royal Dutch Shell']
66b94735-48bd-40b4-89ad-65a943d01e88,standard chartered lags on capital worries,2020-11-06,-1,['Standard Chartered']
42810fe7-223c-49e5-92a5-55fe10342ca9,standard life share price: insurer buys advice firm pearson jones,2020-11-06,1,['Standard Life']
cb9d7e1c-acaa-42e7-881b-cc305e74b118,tesco closes in on new chairman with dixons carphone's john allan in the frame,2020-11-06,1,"['Dixons Carphone', 'Tesco']"
